,Image,F1,Jaccard,Recall,Precision,Accuracy
375,2919.png,0.776888444222111,0.6351738241308793,0.7405817835002384,0.8169384534455549,0.98638916015625
376,1874.png,0.8464954624444874,0.7338466688985604,0.7913357400722022,0.9099211290992113,0.9878692626953125
377,701.png,0.9513690232938292,0.9072486360093531,0.9517579721995094,0.9509803921568627,0.9981842041015625
378,2523.png,0.6008328375966686,0.429421768707483,0.9637404580152672,0.4364736387208297,0.9897613525390625
379,2678.png,0.0,0.0,0.0,0.0,0.9895782470703125
380,1799.png,0.7005649717514125,0.5391304347826087,0.5990338164251208,0.8435374149659864,0.99676513671875
381,961.png,0.3848396501457726,0.23826714801444043,0.8716981132075472,0.24692677712453234,0.9774627685546875
382,1914.png,0.22185430463576158,0.12476722532588454,0.1642156862745098,0.34183673469387754,0.98565673828125
383,1036.png,0.8684774839170838,0.7675300063171194,0.9060402684563759,0.8339052848318462,0.994384765625
384,866.png,0.2799686602246017,0.16276951108411783,0.16276951108411783,1.0,0.9579315185546875
385,364.png,0.7811203319502074,0.6408510638297872,0.6408510638297872,1.0,0.993560791015625
386,2969.png,0.5518716577540107,0.3810930576070901,0.38622754491017963,0.9662921348314607,0.987213134765625
387,3054.png,0.5086774386594854,0.34109149277688605,0.34200643776824036,0.9922178988326849,0.9624176025390625
388,2135.png,0.18897168405365125,0.1043449637919684,0.1047241493227618,0.9664634146341463,0.9584808349609375
389,251.png,0.5974683544303797,0.4259927797833935,0.43223443223443225,0.9672131147540983,0.9975738525390625
390,2965.png,0.0,0.0,0.0,0.0,0.965850830078125
391,60.png,0.9539058709364385,0.911873840445269,0.9979695431472081,0.9135687732342007,0.9985504150390625
392,1647.png,0.9423728813559322,0.8910256410256411,0.9129720853858785,0.9737302977232924,0.99896240234375
393,107.png,0.0,0.0,0.0,0.0,0.968292236328125
394,136.png,0.801418439716312,0.6686390532544378,0.6731198808637379,0.9901423877327492,0.9931640625
395,1641.png,0.9032258064516128,0.8235294117647058,0.9710982658959537,0.8442211055276382,0.99835205078125
396,2515.png,0.7169529499626587,0.5587892898719441,0.9504950495049505,0.5755395683453237,0.988433837890625
397,1706.png,0.9275603663613656,0.8649068322981367,1.0,0.8649068322981367,0.9986724853515625
398,781.png,0.6660019940179461,0.4992526158445441,0.5138461538461538,0.9461756373937678,0.989776611328125
399,2228.png,0.0,0.0,0.0,0.0,0.988555908203125
400,1681.png,0.8131049888309755,0.685069008782936,0.6991037131882202,0.9715302491103203,0.9961700439453125
401,396.png,0.8584935392373149,0.7520706791827719,0.8620253164556962,0.8549905838041432,0.9931488037109375
402,2611.png,0.0,0.0,0.0,0.0,0.9863739013671875
